sample_id,algorithm,original_size,compressed_size,compression_ratio,compression_time_ms,decompression_time_ms,verified
sample_000090,zstd,1048576,1048609,1.0000314712524414,1.3993,0.3315,True
sample_000091,gzip,1048576,300728,0.28679656982421875,1180.4545,2.9776,True
sample_000091,bz2,1048576,286751,0.2734670639038086,104.7432,59.4241,True
sample_000091,lzma,1048576,287684,0.2743568420410156,976.0856,18.0478,True
sample_000091,zstd,1048576,325502,0.3104228973388672,9.8762,2.5799,True
sample_000092,gzip,1048576,1574,0.0015010833740234375,2.6407,0.8683,True
sample_000092,bz2,1048576,139,0.00013256072998046875,217.4471,6.7276,True
sample_000092,lzma,1048576,292,0.000278472900390625,23.3763,3.4014,True
sample_000092,zstd,1048576,112,0.0001068115234375,0.6137,0.7814,True
sample_000093,gzip,1048576,9459,0.009020805358886719,31.4559,0.5735,True
sample_000093,bz2,1048576,11333,0.010807991027832031,7.5889,4.2353,True
sample_000093,lzma,1048576,7896,0.00753021240234375,57.7906,4.1332,True
sample_000093,zstd,1048576,9460,0.009021759033203125,0.4982,0.8116,True
sample_000094,gzip,1048576,136971,0.13062572479248047,34.8935,1.8478,True
sample_000094,bz2,1048576,104646,0.09979820251464844,145.6209,36.2714,True
